date,ip 属地,评分,comments
2024-12-17,贵州,5,一直向往着那如诗如画的田园风光，听闻加榜梯田的绝美景色后，便迫不及待地踏上了这段旅程。 😊😊🌄 初到加榜，沿途的风景就已让我目不暇接。车子在蜿蜒的山路上盘旋，窗外那连绵起伏的山峦间，一片片梯田逐渐映入眼帘。它们层层叠叠，顺着山势蜿蜒而下，或宽或窄，形态各异，好似大自然用它那神奇的画笔勾勒出的不规则几何图案，又似大地母亲身上精美的裙摆褶痕。 ⛰✔️‼️ 走进梯田深处，古朴的苗家吊脚楼错落有致地分布其间，与梯田完美融合在一起。清晨时分，山间云雾缭绕，梯田在雾气中若隐若现，仿佛披上了一层薄纱，如梦如幻，恰似仙境一般。勤劳的苗族村民们早早地就在田间劳作了，他们挽起裤脚，弯腰插秧或是除草，那传统的农耕画面，让我看到了一种对土地深深的眷恋和坚守，也仿佛把时光拉回到了古老的岁月。😊😊 沿着田埂漫步，脚下是湿润的泥土，身旁是随风摇曳的稻苗，空气中弥漫着泥土与稻禾混合的清新气息。每走几步，便能发现新的角度，看到不一样的梯田之美，有时是一弯月牙形的小块梯田独自成景，有时又是好几片梯田相连，形成宏大的景观，无论从哪个视角看，都让人赞叹不已。🔥🔥 傍晚，我登上了观景台，静静地等待日落。夕阳渐渐西下，余晖洒在梯田上，原本青葱的稻苗被染上了一层金黄，整个梯田仿佛变成了一块巨大的金色绸缎，光芒闪耀，绚丽夺目。🌸👍随着太阳慢慢落下，光影在梯田里变幻着，勾勒出一道道优美的曲线，我完全沉浸在这壮美的景色中，手中的相机不停地按下快门，想要把这每一刻的美好都留存下来。🌅🌸 夜幕降临，山间变得格外宁静，只有偶尔传来的几声虫鸣蛙叫。我住在了一家充满民族特色的民宿里，躺在木床上，听着窗外的动静，回味着这一天在加榜梯田的所见所闻，心中满是对这片土地的喜爱与不舍。🌸🌸👇👇 加榜梯田，它不仅仅是一处美丽的自然景观，更是一部活着的农耕文化史书，承载着苗族人民世世代代的生活记忆与智慧结晶，此次游历，注定会成为我记忆中一抹璀璨的亮色。 📸【拍照打卡小 tips】 各个观景台都是绝佳的拍照点哦，像1号观景台可以拍出梯田的大气磅礴，以远方山峦为背景，按下快门，大片即视感就有了😎。3号观景台周边有几座苗家吊脚楼点缀，拍出来的照片既有田园风光又有人文气息呢🤳。另外，沿着田埂走下去，找一些低角度拍摄，让天空、梯田和自己都入镜，也是超美的创意视角哦✨。
2024-08-17,北京,5,绝美，比较原始，想看晨雾一定得早起！！！看着晨雾缓缓升起这种感觉太奇妙了！晚上记得看星星，因为没有什么光污染，可以肉眼看到银河🌌 就是过来的路途比较折腾，但可能正因为这样，这里没有被商业化，还保留着原始的样子。 自驾的朋友一定要提前加好油，这边没有加油站
2020-10-11,未知,5,中国著名的三大梯田景观云南的元阳梯田，广西的龙脊梯田和贵州的加榜梯田。前两个因为名气大，宣传力度大以至我这个贵州人先去的是它们而直至今年十一长假因为疫情只在本省周边游才到了加榜，之前也看了一些游客写的攻略，有客观的也有不太客观的，所以也想来说几句，首先说交通，贵州现在的交通有目共睹，八十七个县全通高速，道路非常好走，说到去加榜梯田，只是下了高速后到加榜还有78公里的路程，沿都柳江一段是国道道路非常好，风景也很不错，直到转入882县道之后的一段基本都是盘山路，路况也非常好，只是道路变窄了，对于外地司机来说可能要小心一点，因为弯道有点大坡度也比较大，大约从下高速到加榜乡需要2个多小时，但沿途风景也非常好。进了景区以后一直到加车村都可以边开车边看风景，随时可以停车下来打卡。整个加榜梯田景区个人认为还保持着原生态的环境和氛围，村民民风依旧淳朴，没有过多的商业气息，最主要的是不收费，这些是与元阳和龙脊梯田相比较它们已经不再具备的优势。如果从梯田的景观及状观程度来说也绝不比它们逊色，反正一句话来过的人不会后悔。再来说一下住宿，个人认为非常方便，之前我还担心长假期间住宿紧张想在网上预订的，结果到了之后发现沿观景公路边的三个村子都有很多民宿，只是节假日期间和景观好的民宿价格比平时稍高一些，最好的景观房也就四百多点，条件也还好，卫生也不错，当然比起正规星级肯定要差点，加车这边因为地理优势，民宿价格比另外两个村子的要高点。吃饭基本住哪里就可以在他们家解决，他们大多都是吃住一体的民宿，严重推荐；吃当地的土鸡，全是原生态放养的，基本上能上三斤的都少，现点现杀味道非常鲜美，50至68一斤，价格还可以谈，还有就是当地少数民族特有的稻花鱼，长在稻田里和水稻一起生长的，味道也非常鲜美，虽然从江小香猪也非常有名，但不推荐，因为太贵，一份只有不到半斤，五十块钱一份，要想吃过瘾四五个人恐怕得花上几佰大毛才够，还有就是因为这边和广西三江接壤，他们的口味和传统意义上的贵州口味是不同的，你想要吃带辣的口味可能会有点遗憾的。最后说一句，你想要感受到朴实自然的民风扣风景，一定不要只站在公路上的观景点，要走到村子里面去，你才会发现不一样的风景。
2017-05-10,未知,5,交通，从江出发到加榜的中巴车，三个半小时到达，沿途风光超赞，在党扭路口下也可，到加车村下也可。景区还没有收门票，酒店旺季的话要提前定好，村里的接待能力才刚刚起步，商业化初级阶段。梯田的规模很大，春夏之交4/5月份田里刚刚注水，阳光之下非常之美。最秀美的一段集中在加车村，螺丝田走不远也可以看到。推荐住在加车村附近，这样游览起来也方便。我们预定的螺丝田上方的万隆庄，结果到店无房，老板和携程积极协调，住到了旁边的铜鼓坡，免了房费，正在装修的一家新酒店，设施很全很新，老板人很好，介绍我们到加车村的表妹家山水涧吃饭，木屋的民宿，很古风，贵州当地的鲜笋和腊肉很赞。早上日出在加车村前的高亭子里拍，会有很多摄友，要提前抢好位置。晚上看星星在加车村到万隆庄之间的拐弯开阔处，运气好可以看到壮阔的银河。有时间的话可以沿着梯田走下溪谷，徒步到谷底，静谧又美好的地方，值得多待几天。
2016-10-12,未知,5,首次看到面积达到25公里长如此壮观的梯田，因没去过云南罗平的梯田，所以还不能作何比较，其形状有传统型的，有几何形的、最靓丽的数加车村的螺旋形的，若想全方位的拍摄到靓景观，本人认为最好住在加车村的“万隆庄客栈”，推开观景房的窗便能拍摄到螺旋梯田了，然后一直往山下走，向下走是加页、党扭村，边走边拍，拍完便可出去返回。遗憾的是若是从三江过来从江的，必然要走321国道，而这段路也是最难走的路，因其大多路段都坑坑洼洼，且很多地段都容易发生山体滑坡，没下雨还好，下雨就很难预算是否会随时滑坡，现在正在修建高速，估计不久将来去那就容易得多了。
2016-08-12,未知,5,当地人也很热情朴实，风景大美，一早看日出天气不好没看到，但看到了云海，梯田，云海，吊脚楼，木屋太美了。夏季来的，梯田一片翠绿，也很好看。今年贵州雨水大，到加榜的路很难走，882县道有些地方有塌方和落石，处于维修状态。路中炮弹坑，大水坑很多，最好越野车前往。五菱宏光也可。。。。
2016-06-24,未知,5,龙脊，元阳梯田你的确很美，但今时今世加榜的出现，让你少几分热度了。加榜梯田己经吸取了你前两大梯田的精华所在了。吃还是比较原生味，口感特爽，吃的是地道的疏菜与大米，住也比较舒服一句话有家的感觉。感谢田之缘山庄全体老板！我下次还会回来的……
2016-05-10,未知,5,一、交通情况：我是5月6号从广州出发，9号回来，一共四天。大家比较关心交通，因出发点不一样，我只说那边的交通情况。如果你是坐高铁，路线就是：1从江高铁站——2从江客运站——3加车村。1、一出高铁站就能看到‘从江’到“洛香”的班车，洛香就是高铁站那个地名，从江就是指从江客运站，上车可跟司机说你到从江客运站就行，行程大约1.5小时，价格16块钱。2、从江客运站到加车村，每天有2趟分别是8:40和12:30，行程大约3.5小时，价格28块钱。3、从加车村回客运站，每天2趟分别是7:30和12:30。 二、食宿情况：到了加车村，很多民宿，超级便宜，40块钱一个单间，卫生还可以。吃的话没那么方便，建议自带点干粮或零食，等到了饭点你也可以跟老板说你要吃饭，他会拿菜单给你点，价格有点点贵，大家可以参考我的图片，那一顿饭花了200多一点。还没到梯田时有家三星级田之缘山庄，单间168到200多不止，你要是追求享受就去那儿吧，不过田之缘离梯田有点远，梯田还要往里走。至于有名的梁老师家，也去瞄了一眼，还行，但民宿很多，没必要在网上订（节假日除外）。
2015-10-27,未知,5,我前几天请了一个小长假来了加搒梯田，一路颠簸天已漆黑了，人也快散架了，到已预定好的山庄“田之缘”，没想到的是在大山深还有这么一家上挡次的酒店，顿时心情放松了许多，胡老板很热情的帮我们泡了一壶热茶，饱吃了一顿菜美价值的晚餐，餐后可在观景房窗台观看银河特美值！疲惫己消失啦！早晨7点钟是我最震撼的是拉开窗帘，架着长炮在观日出，看梯田爽啊！在山庄吃过早餐后出去看其它的景点，一句话人间仙境.两句话不来你会终生后悔。及力推荐这里的美景与热情的山庄住处，给你们留下一个胡老板电话，好方便咨询线路及天气15870286592
2017-08-29,未知,5,加榜梯田是众多梯田中比较好的。景色美，云雾缭绕，层次分明，如果季节选得好，真是摄影的天堂，而且现在尚未收门票，售票处已正在建了，估计很快要收了。从江去加榜的路难行，也难修的。雨季去要小心。
2024-12-17,贵州,5,一直向往着那如诗如画的田园风光，听闻加榜梯田的绝美景色后，便迫不及待地踏上了这段旅程。 😊😊🌄 初到加榜，沿途的风景就已让我目不暇接。车子在蜿蜒的山路上盘旋，窗外那连绵起伏的山峦间，一片片梯田逐渐映入眼帘。它们层层叠叠，顺着山势蜿蜒而下，或宽或窄，形态各异，好似大自然用它那神奇的画笔勾勒出的不规则几何图案，又似大地母亲身上精美的裙摆褶痕。 ⛰✔️‼️ 走进梯田深处，古朴的苗家吊脚楼错落有致地分布其间，与梯田完美融合在一起。清晨时分，山间云雾缭绕，梯田在雾气中若隐若现，仿佛披上了一层薄纱，如梦如幻，恰似仙境一般。勤劳的苗族村民们早早地就在田间劳作了，他们挽起裤脚，弯腰插秧或是除草，那传统的农耕画面，让我看到了一种对土地深深的眷恋和坚守，也仿佛把时光拉回到了古老的岁月。😊😊 沿着田埂漫步，脚下是湿润的泥土，身旁是随风摇曳的稻苗，空气中弥漫着泥土与稻禾混合的清新气息。每走几步，便能发现新的角度，看到不一样的梯田之美，有时是一弯月牙形的小块梯田独自成景，有时又是好几片梯田相连，形成宏大的景观，无论从哪个视角看，都让人赞叹不已。🔥🔥 傍晚，我登上了观景台，静静地等待日落。夕阳渐渐西下，余晖洒在梯田上，原本青葱的稻苗被染上了一层金黄，整个梯田仿佛变成了一块巨大的金色绸缎，光芒闪耀，绚丽夺目。🌸👍随着太阳慢慢落下，光影在梯田里变幻着，勾勒出一道道优美的曲线，我完全沉浸在这壮美的景色中，手中的相机不停地按下快门，想要把这每一刻的美好都留存下来。🌅🌸 夜幕降临，山间变得格外宁静，只有偶尔传来的几声虫鸣蛙叫。我住在了一家充满民族特色的民宿里，躺在木床上，听着窗外的动静，回味着这一天在加榜梯田的所见所闻，心中满是对这片土地的喜爱与不舍。🌸🌸👇👇 加榜梯田，它不仅仅是一处美丽的自然景观，更是一部活着的农耕文化史书，承载着苗族人民世世代代的生活记忆与智慧结晶，此次游历，注定会成为我记忆中一抹璀璨的亮色。 📸【拍照打卡小 tips】 各个观景台都是绝佳的拍照点哦，像1号观景台可以拍出梯田的大气磅礴，以远方山峦为背景，按下快门，大片即视感就有了😎。3号观景台周边有几座苗家吊脚楼点缀，拍出来的照片既有田园风光又有人文气息呢🤳。另外，沿着田埂走下去，找一些低角度拍摄，让天空、梯田和自己都入镜，也是超美的创意视角哦✨。
2024-08-17,北京,5,绝美，比较原始，想看晨雾一定得早起！！！看着晨雾缓缓升起这种感觉太奇妙了！晚上记得看星星，因为没有什么光污染，可以肉眼看到银河🌌 就是过来的路途比较折腾，但可能正因为这样，这里没有被商业化，还保留着原始的样子。 自驾的朋友一定要提前加好油，这边没有加油站
2020-10-11,未知,5,中国著名的三大梯田景观云南的元阳梯田，广西的龙脊梯田和贵州的加榜梯田。前两个因为名气大，宣传力度大以至我这个贵州人先去的是它们而直至今年十一长假因为疫情只在本省周边游才到了加榜，之前也看了一些游客写的攻略，有客观的也有不太客观的，所以也想来说几句，首先说交通，贵州现在的交通有目共睹，八十七个县全通高速，道路非常好走，说到去加榜梯田，只是下了高速后到加榜还有78公里的路程，沿都柳江一段是国道道路非常好，风景也很不错，直到转入882县道之后的一段基本都是盘山路，路况也非常好，只是道路变窄了，对于外地司机来说可能要小心一点，因为弯道有点大坡度也比较大，大约从下高速到加榜乡需要2个多小时，但沿途风景也非常好。进了景区以后一直到加车村都可以边开车边看风景，随时可以停车下来打卡。整个加榜梯田景区个人认为还保持着原生态的环境和氛围，村民民风依旧淳朴，没有过多的商业气息，最主要的是不收费，这些是与元阳和龙脊梯田相比较它们已经不再具备的优势。如果从梯田的景观及状观程度来说也绝不比它们逊色，反正一句话来过的人不会后悔。再来说一下住宿，个人认为非常方便，之前我还担心长假期间住宿紧张想在网上预订的，结果到了之后发现沿观景公路边的三个村子都有很多民宿，只是节假日期间和景观好的民宿价格比平时稍高一些，最好的景观房也就四百多点，条件也还好，卫生也不错，当然比起正规星级肯定要差点，加车这边因为地理优势，民宿价格比另外两个村子的要高点。吃饭基本住哪里就可以在他们家解决，他们大多都是吃住一体的民宿，严重推荐；吃当地的土鸡，全是原生态放养的，基本上能上三斤的都少，现点现杀味道非常鲜美，50至68一斤，价格还可以谈，还有就是当地少数民族特有的稻花鱼，长在稻田里和水稻一起生长的，味道也非常鲜美，虽然从江小香猪也非常有名，但不推荐，因为太贵，一份只有不到半斤，五十块钱一份，要想吃过瘾四五个人恐怕得花上几佰大毛才够，还有就是因为这边和广西三江接壤，他们的口味和传统意义上的贵州口味是不同的，你想要吃带辣的口味可能会有点遗憾的。最后说一句，你想要感受到朴实自然的民风扣风景，一定不要只站在公路上的观景点，要走到村子里面去，你才会发现不一样的风景。
2017-05-10,未知,5,交通，从江出发到加榜的中巴车，三个半小时到达，沿途风光超赞，在党扭路口下也可，到加车村下也可。景区还没有收门票，酒店旺季的话要提前定好，村里的接待能力才刚刚起步，商业化初级阶段。梯田的规模很大，春夏之交4/5月份田里刚刚注水，阳光之下非常之美。最秀美的一段集中在加车村，螺丝田走不远也可以看到。推荐住在加车村附近，这样游览起来也方便。我们预定的螺丝田上方的万隆庄，结果到店无房，老板和携程积极协调，住到了旁边的铜鼓坡，免了房费，正在装修的一家新酒店，设施很全很新，老板人很好，介绍我们到加车村的表妹家山水涧吃饭，木屋的民宿，很古风，贵州当地的鲜笋和腊肉很赞。早上日出在加车村前的高亭子里拍，会有很多摄友，要提前抢好位置。晚上看星星在加车村到万隆庄之间的拐弯开阔处，运气好可以看到壮阔的银河。有时间的话可以沿着梯田走下溪谷，徒步到谷底，静谧又美好的地方，值得多待几天。
2016-10-12,未知,5,首次看到面积达到25公里长如此壮观的梯田，因没去过云南罗平的梯田，所以还不能作何比较，其形状有传统型的，有几何形的、最靓丽的数加车村的螺旋形的，若想全方位的拍摄到靓景观，本人认为最好住在加车村的“万隆庄客栈”，推开观景房的窗便能拍摄到螺旋梯田了，然后一直往山下走，向下走是加页、党扭村，边走边拍，拍完便可出去返回。遗憾的是若是从三江过来从江的，必然要走321国道，而这段路也是最难走的路，因其大多路段都坑坑洼洼，且很多地段都容易发生山体滑坡，没下雨还好，下雨就很难预算是否会随时滑坡，现在正在修建高速，估计不久将来去那就容易得多了。
2016-08-12,未知,5,当地人也很热情朴实，风景大美，一早看日出天气不好没看到，但看到了云海，梯田，云海，吊脚楼，木屋太美了。夏季来的，梯田一片翠绿，也很好看。今年贵州雨水大，到加榜的路很难走，882县道有些地方有塌方和落石，处于维修状态。路中炮弹坑，大水坑很多，最好越野车前往。五菱宏光也可。。。。
2016-06-24,未知,5,龙脊，元阳梯田你的确很美，但今时今世加榜的出现，让你少几分热度了。加榜梯田己经吸取了你前两大梯田的精华所在了。吃还是比较原生味，口感特爽，吃的是地道的疏菜与大米，住也比较舒服一句话有家的感觉。感谢田之缘山庄全体老板！我下次还会回来的……
2016-05-10,未知,5,一、交通情况：我是5月6号从广州出发，9号回来，一共四天。大家比较关心交通，因出发点不一样，我只说那边的交通情况。如果你是坐高铁，路线就是：1从江高铁站——2从江客运站——3加车村。1、一出高铁站就能看到‘从江’到“洛香”的班车，洛香就是高铁站那个地名，从江就是指从江客运站，上车可跟司机说你到从江客运站就行，行程大约1.5小时，价格16块钱。2、从江客运站到加车村，每天有2趟分别是8:40和12:30，行程大约3.5小时，价格28块钱。3、从加车村回客运站，每天2趟分别是7:30和12:30。 二、食宿情况：到了加车村，很多民宿，超级便宜，40块钱一个单间，卫生还可以。吃的话没那么方便，建议自带点干粮或零食，等到了饭点你也可以跟老板说你要吃饭，他会拿菜单给你点，价格有点点贵，大家可以参考我的图片，那一顿饭花了200多一点。还没到梯田时有家三星级田之缘山庄，单间168到200多不止，你要是追求享受就去那儿吧，不过田之缘离梯田有点远，梯田还要往里走。至于有名的梁老师家，也去瞄了一眼，还行，但民宿很多，没必要在网上订（节假日除外）。
2015-10-27,未知,5,我前几天请了一个小长假来了加搒梯田，一路颠簸天已漆黑了，人也快散架了，到已预定好的山庄“田之缘”，没想到的是在大山深还有这么一家上挡次的酒店，顿时心情放松了许多，胡老板很热情的帮我们泡了一壶热茶，饱吃了一顿菜美价值的晚餐，餐后可在观景房窗台观看银河特美值！疲惫己消失啦！早晨7点钟是我最震撼的是拉开窗帘，架着长炮在观日出，看梯田爽啊！在山庄吃过早餐后出去看其它的景点，一句话人间仙境.两句话不来你会终生后悔。及力推荐这里的美景与热情的山庄住处，给你们留下一个胡老板电话，好方便咨询线路及天气15870286592
2017-08-29,未知,5,加榜梯田是众多梯田中比较好的。景色美，云雾缭绕，层次分明，如果季节选得好，真是摄影的天堂，而且现在尚未收门票，售票处已正在建了，估计很快要收了。从江去加榜的路难行，也难修的。雨季去要小心。
