date,ip 属地,评分,comments
2021-10-02,未知,5,柳侯公园在市中心区域，是一座景色秀丽的免费公园，面积虽不算太大，但里面有柳侯祠和柳宗元衣冠冢，这就给公园增色不少，并被评为4A级景区，否则只看自然景观的话这里想评4A怕是没什么机会。不过即便不提人文历史因素，之说风景，这里也还是不错的，花花树树令人耳目一新，湖里还可以划船。另外在公园里跳舞、唱歌、演奏乐器的老年人非常多，而且设备还足够专业，看得出柳州人的文化生活还是很丰富的。
2017-04-13,未知,5,说起家乡的柳侯公园，不知道去过多少次了。尤其是上幼儿园的时候，春游经常到此，留下了许多童年美好的回忆。现在的柳侯公园入园免费，不收门票（但是进入柳侯祠，仍需收10元门票，优惠政策如老人等可享受半价）。这是柳州市实施市民公益优惠项目的结果，在柳州市区内的大多数公园都开放为公益性的免费公园。 【柳侯公园在哪里】柳侯公园可以说是处于得天独厚的位置，位于繁华的市中心地带。公园东侧是弯塘路，每到春季来临，马路上的紫荆花竞相开放，摇身成为一条布满紫色浪漫的道路，游人如织，摄影爱好者纷至沓来。公园西侧是人民广场，广场上有柳州博物馆（介绍柳州历史和壮族文化）、柳州艺术中心（看电影、音乐剧的好去处）以及广场音乐喷泉（每周某个夜晚固定开放）。公园往北走就可以到达三中路、文昌桥。往南走就到了柳州最著名的商业街——五星街。可以说柳侯公园周围吃喝玩乐一应俱全。柳侯公园有好几个大门，通常从西侧靠近中医院的这个大门进入，这是个无形的门，有块石碑在一旁。附近有个大水池，里面很多鲤鱼放养，可买饲料喂食。水池附近有大型假山，有瀑布、有类似水帘洞的洞可以穿梭。进入后就是儿童游乐场了，周末很多家长带小孩来这里玩游乐设施。 【柳侯公园里什么值得看】柳侯公园主要是柳州人来纪念被贬到柳州当刺史的唐代大文豪柳宗元而建成的，历史悠久。最值得一看的就是柳侯祠、柳宗元衣冠冢了。一、柳侯祠门票10元，优惠政策半价。大门对联是郭沫若题写。祠堂内有柳宗元生平介绍的资料以及后人的书法作品。中厅有一座元代雕刻的柳宋元石刻像碑，外厅有陈列着一块“龙城石刻”，碑上的字体是柳宗元的手迹。祠的正殿有柳宗元的塑像，雕刻栩栩如生，生动传神。二、祠后东侧是柳宗元衣冠冢，很多人都以为这里有柳宗元的尸骨。其实，柳宗元在去世后遗骸早已运回长安。这里留下的是他的衣冠，作墓来缅怀他。除了以上这两处，罗池也是园内值得一去的地方，它就在柳侯祠附近。这里的水很清澈，传闻柳宗元生时特别爱来此散步。现在的罗池被参天大树，鸟语花香环绕，是乘凉避暑的好去处。罗池旁有一座六角长亭，名曰“柑香亭”。每天很多柳州的老年乐队都来此排练、演唱。路过此处，你可以听到当地演唱的许多名曲。这里也是柳州老年人聚集聊天娱乐的地方。特别要提醒的是现在公园里新打造了一处景点叫中华园，凭身份证登记入内（下午四点半左右停止入园，清场），里面很多柳州的奇石，亭榭楼台，美不胜收。
2016-10-19,未知,5,环境很好！交通方便。公园里古树成阴，鸟语花香！随处可见百年桂花树，充满历史地厚重感！公园里的指路牌很少，不过本地人很谦和、热情！他们会很有耐心地告诉你怎么走！ 柳州市是我去过城市中最好的。空气清新，风景如画，人更好！宜居！
2024-12-02,河南,5,作为一个开放的公园，柳侯公园做的真的很不错了，里面有爷爷奶奶们的锻炼身体，同时还有我们大家所熟知的与柳宗元相关的故事，整个公园面积挺大，逛起来也得需要个小半天的时间，如果你想在这里好好的看花的话，那都会花费更多的时间。
2016-10-05,未知,4,早上去的。风景，和平常的公园差不太多，不过，有个地方鲤鱼特别大，特别多。娱乐方面，是老人们的健身基地，有游乐场，小孩子玩的挺开心。人文方面，有美术馆和柳宗元的祠堂等，门票也挺便宜的。对面是博物馆，去完公园可以再去博物馆看看。
2016-05-13,未知,4,在柳州这个广西数一数二的大城市中心能有如此那么大的绿地，实在让人羡慕。除了柳侯祠，公园大部分区域皆免费开放，没有成片的围墙，一不小心就从街区走进了绿树成荫、环境优美的园区里头。柳湖、柳荫岛、柳柳阁，公园到处都有以“柳”命名的地方，可见柳宗元对柳州影响之深远。市民主要的休闲区域位于公园北部，小桥流水亭阁居多，而在公园南部，则有开元寺遗址、解放碑、柳宗元塑像等纪念地，而南大门的牌坊则是公园的形象标志，一定要来看看。
2017-05-28,未知,5,我住在雅斯特酒店，马路对面就是柳侯公园，早上晨练的人很多，环境是闹中取静。我家老公长得好帅，人美景美，赏心悦目。愿岁月静好，相携到老！
2017-02-07,未知,5,这是一处在闹市之中藏有一片宁静的地方。主要是纪念柳宗元在柳州的历史遗迹。主要包括柳宗元衣冠冢、柳公祠、柳公塔等多处历史古迹。这里有湖有各种花草、古树。
2024-11-12,广西,5,超👍，特别是去到了那个中华园真的感觉去了那个苏州园林一样，真的拍照超出镜
2016-08-07,未知,5,因为一个人，爱上一座城。因为余秋雨的<<柳侯祠>>，到达柳州的第一站便选择了这里。环境非常幽静的公园。柳宗元，跨越1300年，我终于如愿。
2021-10-02,未知,5,柳侯公园在市中心区域，是一座景色秀丽的免费公园，面积虽不算太大，但里面有柳侯祠和柳宗元衣冠冢，这就给公园增色不少，并被评为4A级景区，否则只看自然景观的话这里想评4A怕是没什么机会。不过即便不提人文历史因素，之说风景，这里也还是不错的，花花树树令人耳目一新，湖里还可以划船。另外在公园里跳舞、唱歌、演奏乐器的老年人非常多，而且设备还足够专业，看得出柳州人的文化生活还是很丰富的。
2017-04-13,未知,5,说起家乡的柳侯公园，不知道去过多少次了。尤其是上幼儿园的时候，春游经常到此，留下了许多童年美好的回忆。现在的柳侯公园入园免费，不收门票（但是进入柳侯祠，仍需收10元门票，优惠政策如老人等可享受半价）。这是柳州市实施市民公益优惠项目的结果，在柳州市区内的大多数公园都开放为公益性的免费公园。 【柳侯公园在哪里】柳侯公园可以说是处于得天独厚的位置，位于繁华的市中心地带。公园东侧是弯塘路，每到春季来临，马路上的紫荆花竞相开放，摇身成为一条布满紫色浪漫的道路，游人如织，摄影爱好者纷至沓来。公园西侧是人民广场，广场上有柳州博物馆（介绍柳州历史和壮族文化）、柳州艺术中心（看电影、音乐剧的好去处）以及广场音乐喷泉（每周某个夜晚固定开放）。公园往北走就可以到达三中路、文昌桥。往南走就到了柳州最著名的商业街——五星街。可以说柳侯公园周围吃喝玩乐一应俱全。柳侯公园有好几个大门，通常从西侧靠近中医院的这个大门进入，这是个无形的门，有块石碑在一旁。附近有个大水池，里面很多鲤鱼放养，可买饲料喂食。水池附近有大型假山，有瀑布、有类似水帘洞的洞可以穿梭。进入后就是儿童游乐场了，周末很多家长带小孩来这里玩游乐设施。 【柳侯公园里什么值得看】柳侯公园主要是柳州人来纪念被贬到柳州当刺史的唐代大文豪柳宗元而建成的，历史悠久。最值得一看的就是柳侯祠、柳宗元衣冠冢了。一、柳侯祠门票10元，优惠政策半价。大门对联是郭沫若题写。祠堂内有柳宗元生平介绍的资料以及后人的书法作品。中厅有一座元代雕刻的柳宋元石刻像碑，外厅有陈列着一块“龙城石刻”，碑上的字体是柳宗元的手迹。祠的正殿有柳宗元的塑像，雕刻栩栩如生，生动传神。二、祠后东侧是柳宗元衣冠冢，很多人都以为这里有柳宗元的尸骨。其实，柳宗元在去世后遗骸早已运回长安。这里留下的是他的衣冠，作墓来缅怀他。除了以上这两处，罗池也是园内值得一去的地方，它就在柳侯祠附近。这里的水很清澈，传闻柳宗元生时特别爱来此散步。现在的罗池被参天大树，鸟语花香环绕，是乘凉避暑的好去处。罗池旁有一座六角长亭，名曰“柑香亭”。每天很多柳州的老年乐队都来此排练、演唱。路过此处，你可以听到当地演唱的许多名曲。这里也是柳州老年人聚集聊天娱乐的地方。特别要提醒的是现在公园里新打造了一处景点叫中华园，凭身份证登记入内（下午四点半左右停止入园，清场），里面很多柳州的奇石，亭榭楼台，美不胜收。
2016-10-19,未知,5,环境很好！交通方便。公园里古树成阴，鸟语花香！随处可见百年桂花树，充满历史地厚重感！公园里的指路牌很少，不过本地人很谦和、热情！他们会很有耐心地告诉你怎么走！ 柳州市是我去过城市中最好的。空气清新，风景如画，人更好！宜居！
2024-12-02,河南,5,作为一个开放的公园，柳侯公园做的真的很不错了，里面有爷爷奶奶们的锻炼身体，同时还有我们大家所熟知的与柳宗元相关的故事，整个公园面积挺大，逛起来也得需要个小半天的时间，如果你想在这里好好的看花的话，那都会花费更多的时间。
2016-10-05,未知,4,早上去的。风景，和平常的公园差不太多，不过，有个地方鲤鱼特别大，特别多。娱乐方面，是老人们的健身基地，有游乐场，小孩子玩的挺开心。人文方面，有美术馆和柳宗元的祠堂等，门票也挺便宜的。对面是博物馆，去完公园可以再去博物馆看看。
2016-05-13,未知,4,在柳州这个广西数一数二的大城市中心能有如此那么大的绿地，实在让人羡慕。除了柳侯祠，公园大部分区域皆免费开放，没有成片的围墙，一不小心就从街区走进了绿树成荫、环境优美的园区里头。柳湖、柳荫岛、柳柳阁，公园到处都有以“柳”命名的地方，可见柳宗元对柳州影响之深远。市民主要的休闲区域位于公园北部，小桥流水亭阁居多，而在公园南部，则有开元寺遗址、解放碑、柳宗元塑像等纪念地，而南大门的牌坊则是公园的形象标志，一定要来看看。
2017-05-28,未知,5,我住在雅斯特酒店，马路对面就是柳侯公园，早上晨练的人很多，环境是闹中取静。我家老公长得好帅，人美景美，赏心悦目。愿岁月静好，相携到老！
2017-02-07,未知,5,这是一处在闹市之中藏有一片宁静的地方。主要是纪念柳宗元在柳州的历史遗迹。主要包括柳宗元衣冠冢、柳公祠、柳公塔等多处历史古迹。这里有湖有各种花草、古树。
2024-11-12,广西,5,超👍，特别是去到了那个中华园真的感觉去了那个苏州园林一样，真的拍照超出镜
2016-08-07,未知,5,因为一个人，爱上一座城。因为余秋雨的<<柳侯祠>>，到达柳州的第一站便选择了这里。环境非常幽静的公园。柳宗元，跨越1300年，我终于如愿。
2021-10-02,未知,5,柳侯公园在市中心区域，是一座景色秀丽的免费公园，面积虽不算太大，但里面有柳侯祠和柳宗元衣冠冢，这就给公园增色不少，并被评为4A级景区，否则只看自然景观的话这里想评4A怕是没什么机会。不过即便不提人文历史因素，之说风景，这里也还是不错的，花花树树令人耳目一新，湖里还可以划船。另外在公园里跳舞、唱歌、演奏乐器的老年人非常多，而且设备还足够专业，看得出柳州人的文化生活还是很丰富的。
2017-04-13,未知,5,说起家乡的柳侯公园，不知道去过多少次了。尤其是上幼儿园的时候，春游经常到此，留下了许多童年美好的回忆。现在的柳侯公园入园免费，不收门票（但是进入柳侯祠，仍需收10元门票，优惠政策如老人等可享受半价）。这是柳州市实施市民公益优惠项目的结果，在柳州市区内的大多数公园都开放为公益性的免费公园。 【柳侯公园在哪里】柳侯公园可以说是处于得天独厚的位置，位于繁华的市中心地带。公园东侧是弯塘路，每到春季来临，马路上的紫荆花竞相开放，摇身成为一条布满紫色浪漫的道路，游人如织，摄影爱好者纷至沓来。公园西侧是人民广场，广场上有柳州博物馆（介绍柳州历史和壮族文化）、柳州艺术中心（看电影、音乐剧的好去处）以及广场音乐喷泉（每周某个夜晚固定开放）。公园往北走就可以到达三中路、文昌桥。往南走就到了柳州最著名的商业街——五星街。可以说柳侯公园周围吃喝玩乐一应俱全。柳侯公园有好几个大门，通常从西侧靠近中医院的这个大门进入，这是个无形的门，有块石碑在一旁。附近有个大水池，里面很多鲤鱼放养，可买饲料喂食。水池附近有大型假山，有瀑布、有类似水帘洞的洞可以穿梭。进入后就是儿童游乐场了，周末很多家长带小孩来这里玩游乐设施。 【柳侯公园里什么值得看】柳侯公园主要是柳州人来纪念被贬到柳州当刺史的唐代大文豪柳宗元而建成的，历史悠久。最值得一看的就是柳侯祠、柳宗元衣冠冢了。一、柳侯祠门票10元，优惠政策半价。大门对联是郭沫若题写。祠堂内有柳宗元生平介绍的资料以及后人的书法作品。中厅有一座元代雕刻的柳宋元石刻像碑，外厅有陈列着一块“龙城石刻”，碑上的字体是柳宗元的手迹。祠的正殿有柳宗元的塑像，雕刻栩栩如生，生动传神。二、祠后东侧是柳宗元衣冠冢，很多人都以为这里有柳宗元的尸骨。其实，柳宗元在去世后遗骸早已运回长安。这里留下的是他的衣冠，作墓来缅怀他。除了以上这两处，罗池也是园内值得一去的地方，它就在柳侯祠附近。这里的水很清澈，传闻柳宗元生时特别爱来此散步。现在的罗池被参天大树，鸟语花香环绕，是乘凉避暑的好去处。罗池旁有一座六角长亭，名曰“柑香亭”。每天很多柳州的老年乐队都来此排练、演唱。路过此处，你可以听到当地演唱的许多名曲。这里也是柳州老年人聚集聊天娱乐的地方。特别要提醒的是现在公园里新打造了一处景点叫中华园，凭身份证登记入内（下午四点半左右停止入园，清场），里面很多柳州的奇石，亭榭楼台，美不胜收。
2016-10-19,未知,5,环境很好！交通方便。公园里古树成阴，鸟语花香！随处可见百年桂花树，充满历史地厚重感！公园里的指路牌很少，不过本地人很谦和、热情！他们会很有耐心地告诉你怎么走！ 柳州市是我去过城市中最好的。空气清新，风景如画，人更好！宜居！
2024-12-02,河南,5,作为一个开放的公园，柳侯公园做的真的很不错了，里面有爷爷奶奶们的锻炼身体，同时还有我们大家所熟知的与柳宗元相关的故事，整个公园面积挺大，逛起来也得需要个小半天的时间，如果你想在这里好好的看花的话，那都会花费更多的时间。
2016-10-05,未知,4,早上去的。风景，和平常的公园差不太多，不过，有个地方鲤鱼特别大，特别多。娱乐方面，是老人们的健身基地，有游乐场，小孩子玩的挺开心。人文方面，有美术馆和柳宗元的祠堂等，门票也挺便宜的。对面是博物馆，去完公园可以再去博物馆看看。
2016-05-13,未知,4,在柳州这个广西数一数二的大城市中心能有如此那么大的绿地，实在让人羡慕。除了柳侯祠，公园大部分区域皆免费开放，没有成片的围墙，一不小心就从街区走进了绿树成荫、环境优美的园区里头。柳湖、柳荫岛、柳柳阁，公园到处都有以“柳”命名的地方，可见柳宗元对柳州影响之深远。市民主要的休闲区域位于公园北部，小桥流水亭阁居多，而在公园南部，则有开元寺遗址、解放碑、柳宗元塑像等纪念地，而南大门的牌坊则是公园的形象标志，一定要来看看。
2017-05-28,未知,5,我住在雅斯特酒店，马路对面就是柳侯公园，早上晨练的人很多，环境是闹中取静。我家老公长得好帅，人美景美，赏心悦目。愿岁月静好，相携到老！
2017-02-07,未知,5,这是一处在闹市之中藏有一片宁静的地方。主要是纪念柳宗元在柳州的历史遗迹。主要包括柳宗元衣冠冢、柳公祠、柳公塔等多处历史古迹。这里有湖有各种花草、古树。
2024-11-12,广西,5,超👍，特别是去到了那个中华园真的感觉去了那个苏州园林一样，真的拍照超出镜
2016-08-07,未知,5,因为一个人，爱上一座城。因为余秋雨的<<柳侯祠>>，到达柳州的第一站便选择了这里。环境非常幽静的公园。柳宗元，跨越1300年，我终于如愿。
2021-10-02,未知,5,柳侯公园在市中心区域，是一座景色秀丽的免费公园，面积虽不算太大，但里面有柳侯祠和柳宗元衣冠冢，这就给公园增色不少，并被评为4A级景区，否则只看自然景观的话这里想评4A怕是没什么机会。不过即便不提人文历史因素，之说风景，这里也还是不错的，花花树树令人耳目一新，湖里还可以划船。另外在公园里跳舞、唱歌、演奏乐器的老年人非常多，而且设备还足够专业，看得出柳州人的文化生活还是很丰富的。
2017-04-13,未知,5,说起家乡的柳侯公园，不知道去过多少次了。尤其是上幼儿园的时候，春游经常到此，留下了许多童年美好的回忆。现在的柳侯公园入园免费，不收门票（但是进入柳侯祠，仍需收10元门票，优惠政策如老人等可享受半价）。这是柳州市实施市民公益优惠项目的结果，在柳州市区内的大多数公园都开放为公益性的免费公园。 【柳侯公园在哪里】柳侯公园可以说是处于得天独厚的位置，位于繁华的市中心地带。公园东侧是弯塘路，每到春季来临，马路上的紫荆花竞相开放，摇身成为一条布满紫色浪漫的道路，游人如织，摄影爱好者纷至沓来。公园西侧是人民广场，广场上有柳州博物馆（介绍柳州历史和壮族文化）、柳州艺术中心（看电影、音乐剧的好去处）以及广场音乐喷泉（每周某个夜晚固定开放）。公园往北走就可以到达三中路、文昌桥。往南走就到了柳州最著名的商业街——五星街。可以说柳侯公园周围吃喝玩乐一应俱全。柳侯公园有好几个大门，通常从西侧靠近中医院的这个大门进入，这是个无形的门，有块石碑在一旁。附近有个大水池，里面很多鲤鱼放养，可买饲料喂食。水池附近有大型假山，有瀑布、有类似水帘洞的洞可以穿梭。进入后就是儿童游乐场了，周末很多家长带小孩来这里玩游乐设施。 【柳侯公园里什么值得看】柳侯公园主要是柳州人来纪念被贬到柳州当刺史的唐代大文豪柳宗元而建成的，历史悠久。最值得一看的就是柳侯祠、柳宗元衣冠冢了。一、柳侯祠门票10元，优惠政策半价。大门对联是郭沫若题写。祠堂内有柳宗元生平介绍的资料以及后人的书法作品。中厅有一座元代雕刻的柳宋元石刻像碑，外厅有陈列着一块“龙城石刻”，碑上的字体是柳宗元的手迹。祠的正殿有柳宗元的塑像，雕刻栩栩如生，生动传神。二、祠后东侧是柳宗元衣冠冢，很多人都以为这里有柳宗元的尸骨。其实，柳宗元在去世后遗骸早已运回长安。这里留下的是他的衣冠，作墓来缅怀他。除了以上这两处，罗池也是园内值得一去的地方，它就在柳侯祠附近。这里的水很清澈，传闻柳宗元生时特别爱来此散步。现在的罗池被参天大树，鸟语花香环绕，是乘凉避暑的好去处。罗池旁有一座六角长亭，名曰“柑香亭”。每天很多柳州的老年乐队都来此排练、演唱。路过此处，你可以听到当地演唱的许多名曲。这里也是柳州老年人聚集聊天娱乐的地方。特别要提醒的是现在公园里新打造了一处景点叫中华园，凭身份证登记入内（下午四点半左右停止入园，清场），里面很多柳州的奇石，亭榭楼台，美不胜收。
2016-10-19,未知,5,环境很好！交通方便。公园里古树成阴，鸟语花香！随处可见百年桂花树，充满历史地厚重感！公园里的指路牌很少，不过本地人很谦和、热情！他们会很有耐心地告诉你怎么走！ 柳州市是我去过城市中最好的。空气清新，风景如画，人更好！宜居！
2024-12-02,河南,5,作为一个开放的公园，柳侯公园做的真的很不错了，里面有爷爷奶奶们的锻炼身体，同时还有我们大家所熟知的与柳宗元相关的故事，整个公园面积挺大，逛起来也得需要个小半天的时间，如果你想在这里好好的看花的话，那都会花费更多的时间。
2016-10-05,未知,4,早上去的。风景，和平常的公园差不太多，不过，有个地方鲤鱼特别大，特别多。娱乐方面，是老人们的健身基地，有游乐场，小孩子玩的挺开心。人文方面，有美术馆和柳宗元的祠堂等，门票也挺便宜的。对面是博物馆，去完公园可以再去博物馆看看。
2016-05-13,未知,4,在柳州这个广西数一数二的大城市中心能有如此那么大的绿地，实在让人羡慕。除了柳侯祠，公园大部分区域皆免费开放，没有成片的围墙，一不小心就从街区走进了绿树成荫、环境优美的园区里头。柳湖、柳荫岛、柳柳阁，公园到处都有以“柳”命名的地方，可见柳宗元对柳州影响之深远。市民主要的休闲区域位于公园北部，小桥流水亭阁居多，而在公园南部，则有开元寺遗址、解放碑、柳宗元塑像等纪念地，而南大门的牌坊则是公园的形象标志，一定要来看看。
2017-05-28,未知,5,我住在雅斯特酒店，马路对面就是柳侯公园，早上晨练的人很多，环境是闹中取静。我家老公长得好帅，人美景美，赏心悦目。愿岁月静好，相携到老！
2017-02-07,未知,5,这是一处在闹市之中藏有一片宁静的地方。主要是纪念柳宗元在柳州的历史遗迹。主要包括柳宗元衣冠冢、柳公祠、柳公塔等多处历史古迹。这里有湖有各种花草、古树。
2024-11-12,广西,5,超👍，特别是去到了那个中华园真的感觉去了那个苏州园林一样，真的拍照超出镜
2016-08-07,未知,5,因为一个人，爱上一座城。因为余秋雨的<<柳侯祠>>，到达柳州的第一站便选择了这里。环境非常幽静的公园。柳宗元，跨越1300年，我终于如愿。
2021-10-02,未知,5,柳侯公园在市中心区域，是一座景色秀丽的免费公园，面积虽不算太大，但里面有柳侯祠和柳宗元衣冠冢，这就给公园增色不少，并被评为4A级景区，否则只看自然景观的话这里想评4A怕是没什么机会。不过即便不提人文历史因素，之说风景，这里也还是不错的，花花树树令人耳目一新，湖里还可以划船。另外在公园里跳舞、唱歌、演奏乐器的老年人非常多，而且设备还足够专业，看得出柳州人的文化生活还是很丰富的。
2017-04-13,未知,5,说起家乡的柳侯公园，不知道去过多少次了。尤其是上幼儿园的时候，春游经常到此，留下了许多童年美好的回忆。现在的柳侯公园入园免费，不收门票（但是进入柳侯祠，仍需收10元门票，优惠政策如老人等可享受半价）。这是柳州市实施市民公益优惠项目的结果，在柳州市区内的大多数公园都开放为公益性的免费公园。 【柳侯公园在哪里】柳侯公园可以说是处于得天独厚的位置，位于繁华的市中心地带。公园东侧是弯塘路，每到春季来临，马路上的紫荆花竞相开放，摇身成为一条布满紫色浪漫的道路，游人如织，摄影爱好者纷至沓来。公园西侧是人民广场，广场上有柳州博物馆（介绍柳州历史和壮族文化）、柳州艺术中心（看电影、音乐剧的好去处）以及广场音乐喷泉（每周某个夜晚固定开放）。公园往北走就可以到达三中路、文昌桥。往南走就到了柳州最著名的商业街——五星街。可以说柳侯公园周围吃喝玩乐一应俱全。柳侯公园有好几个大门，通常从西侧靠近中医院的这个大门进入，这是个无形的门，有块石碑在一旁。附近有个大水池，里面很多鲤鱼放养，可买饲料喂食。水池附近有大型假山，有瀑布、有类似水帘洞的洞可以穿梭。进入后就是儿童游乐场了，周末很多家长带小孩来这里玩游乐设施。 【柳侯公园里什么值得看】柳侯公园主要是柳州人来纪念被贬到柳州当刺史的唐代大文豪柳宗元而建成的，历史悠久。最值得一看的就是柳侯祠、柳宗元衣冠冢了。一、柳侯祠门票10元，优惠政策半价。大门对联是郭沫若题写。祠堂内有柳宗元生平介绍的资料以及后人的书法作品。中厅有一座元代雕刻的柳宋元石刻像碑，外厅有陈列着一块“龙城石刻”，碑上的字体是柳宗元的手迹。祠的正殿有柳宗元的塑像，雕刻栩栩如生，生动传神。二、祠后东侧是柳宗元衣冠冢，很多人都以为这里有柳宗元的尸骨。其实，柳宗元在去世后遗骸早已运回长安。这里留下的是他的衣冠，作墓来缅怀他。除了以上这两处，罗池也是园内值得一去的地方，它就在柳侯祠附近。这里的水很清澈，传闻柳宗元生时特别爱来此散步。现在的罗池被参天大树，鸟语花香环绕，是乘凉避暑的好去处。罗池旁有一座六角长亭，名曰“柑香亭”。每天很多柳州的老年乐队都来此排练、演唱。路过此处，你可以听到当地演唱的许多名曲。这里也是柳州老年人聚集聊天娱乐的地方。特别要提醒的是现在公园里新打造了一处景点叫中华园，凭身份证登记入内（下午四点半左右停止入园，清场），里面很多柳州的奇石，亭榭楼台，美不胜收。
2016-10-19,未知,5,环境很好！交通方便。公园里古树成阴，鸟语花香！随处可见百年桂花树，充满历史地厚重感！公园里的指路牌很少，不过本地人很谦和、热情！他们会很有耐心地告诉你怎么走！ 柳州市是我去过城市中最好的。空气清新，风景如画，人更好！宜居！
2024-12-02,河南,5,作为一个开放的公园，柳侯公园做的真的很不错了，里面有爷爷奶奶们的锻炼身体，同时还有我们大家所熟知的与柳宗元相关的故事，整个公园面积挺大，逛起来也得需要个小半天的时间，如果你想在这里好好的看花的话，那都会花费更多的时间。
