date,ip 属地,评分,comments
2016-01-03,未知,4,位于桂林市南部的雁山区雁山镇和大埠乡区域内，地处市区到阳朔风景旅游区的必经之地。 园博园通过不同的园林造景手法，呈现融城市文化、山水文化、园林艺术和民俗风情于一体的园艺博览盛会。整个园区景观轴线明确，景观层次丰富。园区分为入口景观区、中心水景区、主场馆区、国际展区、农业科技展区、广西城市展区、园林艺术展示区、湿地景观区等八个区域。
2016-03-16,未知,2,园子挺大，可以逛大半天。但是园子建了以后里面的建筑物就没有得到很好的维护。学生证25的价格还是可以接受，但是原价就很对不起那个价格了。建议春季参观，适合周末出游。
2015-10-19,未知,4,这个景点远离桂林市区，如果不是自驾，不推荐特意前往。我们一家人去的感觉是风景还不错，空气比较好，花花草草蛮多的。
2015-12-30,未知,5,整个园林很典雅，很漂亮，我们走遍了所有路，感觉很干净，整洁。
2015-11-15,未知,4,园博园在我学校附近，去的次数也不少。里面汇集了广西区内各个地级市的特色，南宁园柳州园等，虽说是各有各的风味，个人觉得一圈走下来还是略微有些无聊的。景色是做得不错，毕竟是靠旅游吃饭的嘛。跟朋友来散散步什么的，还是不错啦
2015-11-17,未知,5,园址处于桂林山水绝佳处，其主题定位为“山水园林，秀甲天下”，很不错，假期带着家人走走挺好。
2022-05-01,未知,5,花得超值，随便一拍就很宏伟，而且还有露营场地
2016-02-29,未知,2,各地特色风景名胜区齐聚一起，有喷泉白沙滩、向日葵园、各种珍稀植物、印象刘三姐、中塔挺高的，有八层左右，理工大旁，值得一去。
2019-05-09,未知,5,我和春天有个约会——“桂林园博园”（四十八）， “山水园林，秀甲天下”——桂林园博园，位于桂林市南部雁山区，是桂林市区到阳朔风景区的必经之地，是一处融城市文化，山水文化，园林艺术和民俗风情于一体的园林艺术博览园，园博园汇集了广西十四个城市各具特色的园区和建筑，到桂林，如时间充裕，还是值得游览的，
2017-06-25,未知,5,在桂林本地念书，学生党，都是挑节假日过去看看风景，平时人不多。亭台楼阁很美，每个季节都有不同的花，很适合散步，就是里面没有吃的卖
2016-01-03,未知,4,位于桂林市南部的雁山区雁山镇和大埠乡区域内，地处市区到阳朔风景旅游区的必经之地。 园博园通过不同的园林造景手法，呈现融城市文化、山水文化、园林艺术和民俗风情于一体的园艺博览盛会。整个园区景观轴线明确，景观层次丰富。园区分为入口景观区、中心水景区、主场馆区、国际展区、农业科技展区、广西城市展区、园林艺术展示区、湿地景观区等八个区域。
2016-03-16,未知,2,园子挺大，可以逛大半天。但是园子建了以后里面的建筑物就没有得到很好的维护。学生证25的价格还是可以接受，但是原价就很对不起那个价格了。建议春季参观，适合周末出游。
2015-10-19,未知,4,这个景点远离桂林市区，如果不是自驾，不推荐特意前往。我们一家人去的感觉是风景还不错，空气比较好，花花草草蛮多的。
2015-12-30,未知,5,整个园林很典雅，很漂亮，我们走遍了所有路，感觉很干净，整洁。
2015-11-15,未知,4,园博园在我学校附近，去的次数也不少。里面汇集了广西区内各个地级市的特色，南宁园柳州园等，虽说是各有各的风味，个人觉得一圈走下来还是略微有些无聊的。景色是做得不错，毕竟是靠旅游吃饭的嘛。跟朋友来散散步什么的，还是不错啦
2015-11-17,未知,5,园址处于桂林山水绝佳处，其主题定位为“山水园林，秀甲天下”，很不错，假期带着家人走走挺好。
2022-05-01,未知,5,花得超值，随便一拍就很宏伟，而且还有露营场地
2016-02-29,未知,2,各地特色风景名胜区齐聚一起，有喷泉白沙滩、向日葵园、各种珍稀植物、印象刘三姐、中塔挺高的，有八层左右，理工大旁，值得一去。
